 y  analyst subject
 5.2       1       1
 6.0       1       2
 7.2       1       3
 7.8       1       4
 9.2       1       5
10.9       1       6
12.0       1       7
12.9       1       8
14.0       1       9
14.9       1      10
 4.8       2       1
 6.1       2       2
 6.9       2       3
 7.9       2       4
 9.1       2       5
11.0       2       6
12.2       2       7
12.8       2       8
13.9       2       9
15.1       2      10
 5.4       3       1
 6.2       3       2
 7.2       3       3
 8.3       3       4
 9.4       3       5
11.4       3       6
12.4       3       7
13.6       3       8
14.2       3       9
15.2       3      10
 5.2       4       1
 6.2       4       2
 7.4       4       3
 8.3       4       4
 9.6       4       5
10.9       4       6
12.2       4       7
13.2       4       8
14.3       4       9
15.6       4      10
 5.7       5       1
 7.0       5       2
 7.9       5       3
 8.8       5       4
 9.7       5       5
11.7       5       6
12.8       5       7
13.9       5       8
15.0       5       9
15.7       5      10
