 mpg cyl   hp    wt  
21.0   6  110 2.620  
21.0   6  110 2.875  
22.8   4   93 2.320  
21.4   6  110 3.215  
18.7   8  175 3.440  
18.1   6  105 3.460  
14.3   8  245 3.570  
24.4   4   62 3.190  
22.8   4   95 3.150  
19.2   6  123 3.440  
17.8   6  123 3.440  
16.4   8  180 4.070  
17.3   8  180 3.730  
15.2   8  180 3.780  
10.4   8  205 5.250  
10.4   8  215 5.424  
14.7   8  230 5.345  
32.4   4   66 2.200  
30.4   4   52 1.615  
33.9   4   65 1.835  
21.5   4   97 2.465  
15.5   8  150 3.520  
15.2   8  150 3.435  
13.3   8  245 3.840  
19.2   8  175 3.845  
27.3   4   66 1.935  
26.0   4   91 2.140  
30.4   4  113 1.513  
15.8   8  264 3.170  
19.7   6  175 2.770  
15.0   8  335 3.570  
21.4   4  109 2.780
