Group     Yield 
1      567.2103 
1      559.3799 
1      541.2782 
1      535.5567 
1      528.3955 
1      545.1754 
1      564.4836 
1      560.4244 
1      537.0954 
1      532.3433 
1      502.8953 
1      534.3161 
1      529.6982 
1      526.7769 
1      508.3269 
1      526.0049 
1      543.8644 
1      567.5542 
1      542.3761 
1      521.6004 
1      546.3126 
1      540.2632 
1      566.8323 
1      576.9602 
1      502.2566 
1      510.6473 
1      542.2095 
1      585.8108 
1      561.9608 
1      592.7808 
1      565.9021 
1      559.6934 
1      512.1593 
1      519.1166 
1      560.4407 
1      556.9645 
1      597.2315 
1      529.3019 
1      521.6069 
1      528.5086 
1      567.2411 
1      594.7136 
1      561.3872 
1      559.1756 
1      555.6232 
1      530.4708 
1      530.1241 
1      560.0849 
1      587.8518 
1      574.1575 
2      536.7315
2      486.0164
2      548.9394
2      477.3979
2      487.2823
2      515.7257
2      523.1631
2      513.6265
2      504.4969
2      497.9109
2      491.6149
2      504.4225
2      504.6408
2      521.5406
2      569.3020
2      571.5518
2      503.9998
2      547.7027
2      518.1853
2      533.3700
2      516.3106
2      536.7422
2      522.0646
2      490.9870
2      514.1870
2      547.4565
2      551.8188
2      503.3869
2      474.9429
2      521.1445
2      531.4598
2      527.9184
2      538.3605
2      546.4156
2      544.2728
2      581.9998
2      503.7455
2      517.2750
2      555.7920
2      490.9189
2      528.5365
2      544.2148
2      493.9954
2      515.5375
2      488.0023
2      530.1143
2      511.5512
2      490.7571
2      508.6619
2      535.6629
