"crime","zone","nonretail","river","nox","room","age","distance","tax","PTratio","lower"
0.06905,0,2.18,"No",0.458,7.147,54.2,6.0622,222,18.7,5.33
0.02985,0,2.18,"No",0.458,6.43,58.7,6.0622,222,18.7,5.21
0.08829,12.5,7.87,"No",0.524,6.012,66.6,5.5605,311,15.2,12.43
0.14455,12.5,7.87,"No",0.524,6.172,96.1,5.9505,311,15.2,19.15
0.21124,12.5,7.87,"No",0.524,5.631,100,6.0821,311,15.2,29.93
0.17004,12.5,7.87,"No",0.524,6.004,85.9,6.5921,311,15.2,17.1
0.22489,12.5,7.87,"No",0.524,6.377,94.3,6.3467,311,15.2,20.45
0.11747,12.5,7.87,"No",0.524,6.009,82.9,6.2267,311,15.2,13.27
1.05393,0,8.14,"No",0.538,5.935,29.3,4.4986,307,21,6.58
0.7842,0,8.14,"No",0.538,5.99,81.7,4.2579,307,21,14.67
1.25179,0,8.14,"No",0.538,5.57,98.1,3.7979,307,21,21.02
0.84054,0,8.14,"No",0.538,5.599,85.7,4.4546,307,21,16.51
1.00245,0,8.14,"No",0.538,6.674,87.3,4.239,307,21,11.98
1.35472,0,8.14,"No",0.538,6.072,100,4.175,307,21,13.04
1.15172,0,8.14,"No",0.538,5.701,95,3.7872,307,21,18.35
0.08014,0,5.96,"No",0.499,5.85,41.5,3.9342,279,19.2,8.77
0.17142,0,6.91,"No",0.448,5.682,33.8,5.1004,233,17.9,10.21
0.18836,0,6.91,"No",0.448,5.786,33.3,5.1004,233,17.9,14.15
0.04337,21,5.64,"No",0.439,6.115,63,6.8147,243,16.8,9.43
0.04981,21,5.64,"No",0.439,5.998,21.4,6.8147,243,16.8,8.43
0.0136,75,4,"No",0.41,5.888,47.6,7.3197,469,21.1,14.8
0.02055,85,0.74,"No",0.41,6.383,35.7,9.1876,313,17.3,5.77
0.01432,100,1.32,"No",0.411,6.816,40.5,8.3248,256,15.1,3.95
0.15445,25,5.13,"No",0.453,6.145,29.2,7.8148,284,19.7,6.86
0.11027,25,5.13,"No",0.453,6.456,67.8,7.2255,284,19.7,6.73
0.03584,80,3.37,"No",0.398,6.29,17.8,6.6115,337,16.1,4.67
0.04379,80,3.37,"No",0.398,5.787,31.1,6.6115,337,16.1,10.24
0.13554,12.5,6.07,"No",0.409,5.594,36.8,6.498,345,18.9,13.09
0.08826,0,10.81,"No",0.413,6.417,6.6,5.2873,305,19.2,6.72
0.09512,0,12.83,"No",0.437,6.286,45,4.5026,398,18.7,8.94
0.08387,0,12.83,"No",0.437,5.874,36.6,4.5026,398,18.7,9.1
0.05188,0,4.49,"No",0.449,6.015,45.1,4.4272,247,18.5,12.86
0.07151,0,4.49,"No",0.449,6.121,56.8,3.7476,247,18.5,8.44
0.04684,0,3.41,"No",0.489,6.417,66.1,3.0923,270,17.8,8.81
0.02875,28,15.04,"No",0.464,6.211,28.9,3.6659,270,18.2,6.21
0.04294,28,15.04,"No",0.464,6.249,77.3,3.615,270,18.2,10.59
0.12204,0,2.89,"No",0.445,6.625,57.8,3.4952,276,18,6.65
0.0686,0,2.89,"No",0.445,7.416,62.5,3.4952,276,18,6.19
0.12802,0,8.56,"No",0.52,6.474,97.1,2.4329,384,20.9,12.27
0.22212,0,10.01,"No",0.547,6.092,95.4,2.548,432,17.8,17.09
0.14231,0,10.01,"No",0.547,6.254,84.2,2.2565,432,17.8,10.45
0.14476,0,10.01,"No",0.547,5.731,65.2,2.7592,432,17.8,13.61
0.09299,0,25.65,"No",0.581,5.961,92.9,2.0869,188,19.1,17.93
0.09849,0,25.65,"No",0.581,5.879,95.8,2.0063,188,19.1,17.58
0.32982,0,21.89,"No",0.624,5.822,95.4,2.4699,437,21.2,15.03
