"crime","zone","nonretail","river","nox","room","age","distance","tax","PTratio","lower","value"
0.10959,0,11.93,"No",0.573,6.794,89.3,2.3889,273,21,6.48,22
0.28392,0,7.38,"No",0.493,5.708,74.3,4.7211,287,19.6,11.74,18.5
2.01019,0,19.58,"No",0.605,7.929,96.2,2.0459,403,14.7,3.7,50
0.32543,0,21.89,"No",0.624,6.431,98.8,1.8125,437,21.2,15.39,18
25.9406,0,18.1,"No",0.679,5.304,89.1,1.6475,666,20.2,26.64,10.4
4.34879,0,18.1,"No",0.58,6.167,84,3.0334,666,20.2,16.29,19.9
0.06466,70,2.24,"No",0.4,6.345,20.1,7.8278,358,14.8,4.97,22.5
0.09065,20,6.96,"Yes",0.464,5.92,61.5,3.9175,223,18.6,13.65,20.7
3.1636,0,18.1,"No",0.655,5.759,48.2,3.0665,666,20.2,14.13,19.9
0.05602,0,2.46,"No",0.488,7.831,53.6,3.1992,193,17.8,4.45,50
0.07503,33,2.18,"No",0.472,7.42,71.9,3.0992,222,18.4,6.47,33.4
5.82401,0,18.1,"No",0.532,6.242,64.7,3.4242,666,20.2,10.74,23
0.05059,0,4.49,"No",0.449,6.389,48,4.7794,247,18.5,9.62,23.9
0.10469,40,6.41,"Yes",0.447,7.267,49,4.7872,254,17.6,6.05,33.2
3.83684,0,18.1,"No",0.77,6.251,91.1,2.2955,666,20.2,14.19,19.9
15.1772,0,18.1,"No",0.74,6.152,100,1.9142,666,20.2,26.45,8.7
0.06724,0,3.24,"No",0.46,6.333,17.2,5.2146,430,16.9,7.34,22.6
0.52014,20,3.97,"No",0.647,8.398,91.5,2.2885,264,13,5.91,48.8
0.06617,0,3.24,"No",0.46,5.868,25.8,5.2146,430,16.9,9.97,19.3
0.05646,0,12.83,"No",0.437,6.232,53.7,5.0141,398,18.7,12.34,21.2
0.21719,0,10.59,"Yes",0.489,5.807,53.8,3.6526,277,18.6,16.03,22.4
0.09744,0,5.96,"No",0.499,5.841,61.4,3.3779,279,19.2,11.41,20
0.1396,0,8.56,"No",0.52,6.167,90,2.421,384,20.9,12.33,20.1
0.0456,0,13.89,"Yes",0.55,5.888,56,3.1121,276,16.4,13.51,23.3
4.55587,0,18.1,"No",0.718,3.561,87.9,1.6132,666,20.2,7.12,27.5
2.24236,0,19.58,"No",0.605,5.854,91.8,2.422,403,14.7,11.64,22.7
0.04297,52.5,5.32,"No",0.405,6.565,22.9,7.3172,293,16.6,9.51,24.8
0.10574,0,27.74,"No",0.609,5.983,98.8,1.8681,711,20.1,18.07,13.6
15.8744,0,18.1,"No",0.671,6.545,99.1,1.5192,666,20.2,21.08,10.9
