id,lnw,exper,ged,postexp,black,hispanic,hgc,hgc.9,uerate,ue.7,ue.centert1,ue.mean,ue.person.cen,ue1
31,1.491,.015,1,.015,0,1,8,-1,3.215,-3.785,0,3.215,0,3.215
31,1.433,.715,1,.715,0,1,8,-1,3.215,-3.785,0,3.215,0,3.215
31,1.469,1.734,1,1.734,0,1,8,-1,3.215,-3.785,0,3.215,0,3.215
31,1.749,2.773,1,2.773,0,1,8,-1,3.295,-3.705,.08000000000000007,3.215,.08000000000000007,3.215
31,1.931,3.927,1,3.927,0,1,8,-1,2.895,-4.105,-.31999999999999984,3.215,-.31999999999999984,3.215
31,1.709,4.946,1,4.946,0,1,8,-1,2.495,-4.505,-.7199999999999998,3.215,-.7199999999999998,3.215
31,2.086,5.965,1,5.965,0,1,8,-1,2.595,-4.404999999999999,-.6199999999999997,3.215,-.6199999999999997,3.215
31,2.129,6.984,1,6.984,0,1,8,-1,4.795,-2.205,1.58,3.215,1.58,3.215
36,1.982,.315,1,.315,0,0,9,0,4.895,-2.1050000000000004,0,5.0965,-.20150000000000023,4.895
36,1.798,.983,1,.983,0,0,9,0,7.4,.40000000000000036,2.505000000000001,5.0965,2.3035000000000005,4.895
36,2.256,2.04,1,2.04,0,0,9,0,7.4,.40000000000000036,2.505000000000001,5.0965,2.3035000000000005,4.895
36,2.573,3.021,1,3.021,0,0,9,0,5.295,-1.705,.40000000000000036,5.0965,.19850000000000012,4.895
36,1.819,4.021,1,4.021,0,0,9,0,4.495,-2.505,-.39999999999999947,5.0965,-.6014999999999997,4.895
36,2.928,5.521,1,5.521,0,0,9,0,2.895,-4.105,-1.9999999999999996,5.0965,-2.2015,4.895
36,2.443,6.733,1,6.733,0,0,9,0,2.595,-4.404999999999999,-2.2999999999999994,5.0965,-2.5014999999999996,4.895
36,2.825,7.906,1,7.906,0,0,9,0,2.595,-4.404999999999999,-2.2999999999999994,5.0965,-2.5014999999999996,4.895
36,2.303,8.848,1,8.848,0,0,9,0,5.795,-1.205,.9000000000000004,5.0965,.6985000000000001,4.895
36,2.329,9.598,1,9.598,0,0,9,0,7.6,.5999999999999996,2.705,5.0965,2.5035,4.895
53,1.763,.781,0,0,0,1,7,-2,5.595,-1.4050000000000002,0,4.4325,1.1624999999999996,5.595
53,1.538,.943,0,0,0,1,7,-2,6.695,-.3049999999999997,1.1000000000000005,4.4325,2.2625,5.595
53,3.242,.957,1,0,0,1,7,-2,4.895,-2.1050000000000004,-.7000000000000002,4.4325,.46249999999999947,5.595
53,1.596,1.037,1,.08,0,1,7,-2,4.995,-2.005,-.5999999999999996,4.4325,.5625,5.595
53,1.566,1.057,1,.1,0,1,7,-2,3.795,-3.205,-1.7999999999999998,4.4325,-.6375000000000002,5.595
53,1.882,1.11,1,.152,0,1,7,-2,3.495,-3.505,-2.0999999999999996,4.4325,-.9375,5.595
53,1.89,1.185,1,.227,0,1,7,-2,2.795,-4.205,-2.8,4.4325,-1.6375000000000002,5.595
53,1.66,1.777,1,.82,0,1,7,-2,3.195,-3.805,-2.4,4.4325,-1.2375000000000003,5.595
122,2.115,2.038,0,0,0,0,12,3,8.4,1.4000000000000004,0,5.296,3.104,8.4
122,2.921,2.638,0,0,0,0,12,3,8.1,1.0999999999999996,-.3000000000000007,5.296,2.8039999999999994,8.4
122,1.919,3.658,0,0,0,0,12,3,6.395,-.6050000000000004,-2.005000000000001,5.296,1.0989999999999993,8.4
122,.763,4.638,0,0,0,0,12,3,4.995,-2.005,-3.4050000000000002,5.296,-.30100000000000016,8.4
122,2.443,5.831,0,0,0,0,12,3,4.095,-2.9050000000000002,-4.305000000000001,5.296,-1.2010000000000005,8.4
122,2.18,6.715,0,0,0,0,12,3,3.595,-3.405,-4.805,5.296,-1.701,8.4
122,2.138,8.158,0,0,0,0,12,3,2.795,-4.205,-5.605,5.296,-2.5010000000000003,8.4
122,2.199,9.1,0,0,0,0,12,3,3.195,-3.805,-5.205,5.296,-2.1010000000000004,8.4
122,2.337,10.35,0,0,0,0,12,3,5.195,-1.8049999999999997,-3.205,5.296,-.10099999999999998,8.4
122,2.668,11.081,0,0,0,0,12,3,6.195,-.8049999999999997,-2.205,5.296,.899,8.4
134,2.004,.192,0,0,0,0,11,2,5.795,-1.205,0,5.720833333333333,.07416666666666671,5.795
134,2.099,.972,0,0,0,0,11,2,5.495,-1.505,-.2999999999999998,5.720833333333333,-.2258333333333331,5.795
134,2.323,1.934,0,0,0,0,11,2,6.095,-.9050000000000002,.2999999999999998,5.720833333333333,.37416666666666654,5.795
134,2.387,2.953,0,0,0,0,11,2,8.4,1.4000000000000004,2.6050000000000004,5.720833333333333,2.679166666666667,5.795
134,2.263,3.915,1,0,0,0,11,2,8.1,1.0999999999999996,2.3049999999999997,5.720833333333333,2.3791666666666664,5.795
134,2.326,4.635,1,.72,0,0,11,2,6.395,-.6050000000000004,.5999999999999996,5.720833333333333,.6741666666666664,5.795
134,2.298,5.635,1,1.72,0,0,11,2,5.895,-1.1050000000000004,.09999999999999964,5.720833333333333,.17416666666666636,5.795
134,2.666,6.75,1,2.835,0,0,11,2,5.095,-1.9050000000000002,-.7000000000000002,5.720833333333333,-.6258333333333335,5.795
134,2.806,8.25,1,4.335,0,0,11,2,2.795,-4.205,-3,5.720833333333333,-2.9258333333333333,5.795
134,2.927,9.019,1,5.105,0,0,11,2,3.195,-3.805,-2.6,5.720833333333333,-2.5258333333333334,5.795
134,2.931,10.038,1,6.124,0,0,11,2,5.195,-1.8049999999999997,-.5999999999999996,5.720833333333333,-.5258333333333329,5.795
134,2.764,10.818,1,6.904,0,0,11,2,6.195,-.8049999999999997,.40000000000000036,5.720833333333333,.47416666666666707,5.795
145,1.562,.235,0,0,0,0,10,1,8.4,1.4000000000000004,0,5.195555555555556,3.2044444444444444,8.4
145,1.476,.828,1,.473,0,0,10,1,6.395,-.6050000000000004,-2.005000000000001,5.195555555555556,1.1994444444444436,8.4
145,1.596,1.828,1,1.473,0,0,10,1,5.895,-1.1050000000000004,-2.505000000000001,5.195555555555556,.6994444444444436,8.4
145,1.885,2.488,1,2.133,0,0,10,1,5.095,-1.9050000000000002,-3.3050000000000006,5.195555555555556,-.10055555555555618,8.4
145,2.036,3.699,1,3.344,0,0,10,1,3.595,-3.405,-4.805,5.195555555555556,-1.6005555555555557,8.4
145,1.771,4.776,1,4.421,0,0,10,1,2.795,-4.205,-5.605,5.195555555555556,-2.400555555555556,8.4
145,1.878,5.641,1,5.286,0,0,10,1,3.195,-3.805,-5.205,5.195555555555556,-2.000555555555556,8.4
